School,Name,Active,
2073,SOUTH AREA ADULT EDUCATION-NIGHT PROGRAM,C,
2014,SOUTH AREA ARC CENTER,C,
73,SOUTH AREA HEAD START,C,
2043,SOUTH AREA ROPES SCHOOL,C,
121,SOUTH LAKE ELEMENTARY SCHOOL,C,
3082,SOUTH PINE GROVE ADULT EDUCATION,C,
3081,SOUTH PINE GROVE SCHOOL,C,
6510,STEPPING STONES CHARTER SCHOOL,C,
4072,STEVENSON ROPES SCHOOL (ALTERNATIVE EDUCATION),C,
6513,SUMMIT QUEST CHARTER ACADEMY,C,
81,WHISPERING HILLS PRIMARY SCHOOL,C,
,,,
,,,
,,,
